date,c1,c2,c3,c4,c5,c6,c7,c8,h1
16Mar2021,2,3,2,4,1,2,2,3,2
17Mar2021,2,3,2,4,1,2,2,3,2
18Mar2021,2,3,2,4,1,2,2,3,2
19Mar2021,2,3,2,4,1,2,2,3,2
20Mar2021,2,3,2,4,1,2,2,3,2
21Mar2021,2,3,2,4,1,2,2,3,2
22Mar2021,2,3,2,4,1,2,2,3,2
23Mar2021,2,3,2,4,1,2,2,3,2
24Mar2021,2,3,2,4,1,2,2,3,2
25Mar2021,2,3,2,4,1,2,2,3,2
26Mar2021,2,3,2,4,1,2,2,3,2
27Mar2021,2,3,2,4,1,2,1,3,2
28Mar2021,2,3,2,4,1,2,1,3,2
29Mar2021,2,3,2,4,1,2,1,3,2
30Mar2021,2,3,2,4,1,2,1,3,2
31Mar2021,2,3,2,4,1,2,1,3,2
01Apr2021,2,3,2,4,1,2,1,3,2
02Apr2021,2,3,2,4,1,2,1,3,2
03Apr2021,2,3,2,4,1,2,1,3,2
04Apr2021,2,3,2,4,1,2,1,3,2
05Apr2021,2,3,2,4,1,2,1,3,2
06Apr2021,2,3,2,4,1,2,1,3,2
07Apr2021,2,3,2,4,1,2,1,3,2
08Apr2021,2,3,2,4,1,2,1,3,2
09Apr2021,2,3,2,4,1,2,1,3,2
10Apr2021,2,3,2,4,1,2,1,3,2
11Apr2021,2,3,2,4,1,2,1,3,2
12Apr2021,1,2,2,4,1,0,1,3,2
13Apr2021,1,2,2,4,1,0,1,3,2
14Apr2021,1,2,2,4,1,0,1,3,2
15Apr2021,1,2,2,4,1,0,1,3,2
16Apr2021,1,2,2,4,1,0,1,3,2
17Apr2021,1,2,2,4,1,0,1,3,2
18Apr2021,1,2,2,4,1,0,1,3,2
19Apr2021,1,2,2,4,1,0,1,3,2
20Apr2021,1,2,2,4,1,0,1,3,2
21Apr2021,1,2,2,4,1,0,1,3,2
22Apr2021,1,2,2,4,1,0,1,3,2
23Apr2021,1,2,2,4,1,0,1,3,2
24Apr2021,1,2,2,4,1,0,1,3,2
25Apr2021,1,2,2,4,1,0,1,3,2
26Apr2021,1,2,2,4,1,0,1,3,2
27Apr2021,1,2,2,4,1,0,1,3,2
28Apr2021,1,2,2,4,1,0,1,3,2
29Apr2021,1,2,2,4,1,0,1,3,2
30Apr2021,1,2,2,4,1,0,1,3,2
01May2021,1,2,2,4,1,0,1,3,2
02May2021,1,2,2,4,1,0,1,3,2
03May2021,1,2,2,4,1,0,1,3,2
04May2021,1,2,2,4,1,0,1,3,2
05May2021,1,2,2,4,1,0,1,3,2
06May2021,1,2,2,4,1,0,1,3,2
07May2021,1,2,2,4,1,0,1,3,2
08May2021,1,2,2,4,1,0,1,3,2
09May2021,1,2,2,4,1,0,1,3,2
10May2021,1,2,2,4,1,0,1,3,2
11May2021,1,2,2,4,1,0,1,3,2
12May2021,1,2,2,4,1,0,1,3,2
13May2021,1,2,2,4,1,0,1,3,2
14May2021,1,2,2,4,1,0,1,3,2
15May2021,1,2,2,4,1,0,1,3,2
16May2021,1,2,2,4,1,0,1,3,2
17May2021,1,2,2,4,1,0,2,3,2
18May2021,1,2,2,4,1,0,2,3,2
19May2021,1,2,2,4,1,0,2,3,2
20May2021,1,2,2,4,1,0,2,3,2
21May2021,1,2,2,4,1,0,2,3,2
22May2021,1,2,2,4,1,0,2,3,2
23May2021,1,2,2,4,1,0,2,3,2
24May2021,1,2,2,4,1,0,2,3,2
25May2021,1,2,2,4,1,0,2,3,2
26May2021,1,2,2,4,1,0,2,3,2
27May2021,1,2,2,4,1,0,2,3,2
28May2021,1,2,2,4,1,0,2,3,2
29May2021,1,2,2,4,1,0,2,3,2
30May2021,1,2,2,4,1,0,2,3,2
31May2021,1,2,2,4,1,0,2,3,2
01Jun2021,1,2,2,4,1,0,2,3,2
02Jun2021,1,2,2,4,1,0,2,3,2
03Jun2021,1,2,2,4,1,0,2,3,2
04Jun2021,1,2,2,4,1,0,2,3,2
05Jun2021,1,2,1,4,1,0,0,3,2
06Jun2021,1,2,1,4,1,0,0,3,2
07Jun2021,1,2,1,4,1,0,0,3,2
08Jun2021,1,2,1,4,1,0,0,3,2
09Jun2021,1,2,1,4,1,0,0,3,2
10Jun2021,1,2,1,4,1,0,0,3,2
11Jun2021,1,2,1,4,1,0,0,3,2
12Jun2021,1,2,1,4,1,0,0,3,2
13Jun2021,1,2,1,4,1,0,0,3,2
14Jun2021,1,2,1,4,1,0,0,3,2
15Jun2021,1,2,1,4,1,0,0,3,2
16Jun2021,1,2,1,4,1,0,0,3,2
17Jun2021,1,2,1,4,1,0,0,3,2
18Jun2021,1,2,1,4,1,0,0,3,2
19Jun2021,1,2,1,4,1,0,0,3,2
20Jun2021,1,2,1,4,1,0,0,3,2
